time,C_mol,CL_mol,CT_mol,C_wtppm,CL_wtppm,CT_wtppm
0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,6.8120532,5.7174201,1.09476149,0.869147827,0.729407837,0.139621536
600.0,10.1895208,8.6115942,1.57742286,1.29987717,1.09869897,0.201199005
1800.0,10.4832258,8.86444473,1.61997581,1.33726037,1.13104904,0.206550781
7200.0,10.4886475,8.86469555,1.61999893,1.33726656,1.13118362,0.206551758
