
                     X                   displacement                force         

                   0.                       0.                      -0.            
                   5.                      12.4999981E-03          174.652359      
                  10.                      24.9999962E-03          349.284393      
                  15.                      37.5000114E-03          523.895874      
                  20.                      49.9999924E-03          698.487061      
                  25.                      62.5E-03                873.057861      
                  30.                      75.0000229E-03            1.04760826E+03
                  35.                      87.5E-03                  1.22213817E+03
                  40.                      99.9999847E-03            1.39664793E+03
                  45.                     112.499969E-03             1.57113731E+03
                  50.                     125.E-03                   1.74560571E+03
                  55.                     137.500031E-03             1.92005455E+03
                  60.                     150.000046E-03             2.09448266E+03
                  65.                     162.499969E-03             2.26889038E+03
                  70.                     175.E-03                   2.4432776E+03 
                  75.                     187.5E-03                  2.61764479E+03
                  80.                     199.999969E-03             2.79199171E+03
                  85.                     212.500061E-03             2.96631742E+03
                  90.                     224.999939E-03             3.14062357E+03
                  95.                     237.500061E-03             3.31490922E+03
                 100.                     250.E-03                   3.48917484E+03
                 105.                     262.499939E-03             3.66341949E+03
                 110.                     275.000061E-03             3.83764386E+03
                 115.                     287.499939E-03             4.01184464E+03
                 120.                     300.000092E-03             4.18599558E+03
                 125.                     312.5E-03                  4.36010885E+03
                 130.                     324.999939E-03             4.53416872E+03
                 135.                     337.5E-03                  4.70817327E+03
                 140.                     350.E-03                   4.88210964E+03
                 145.                     362.500092E-03             5.05597734E+03
                 150.                     375.E-03                   5.22975254E+03
                 155.                     387.499939E-03             5.40343761E+03
                 160.                     399.999939E-03             5.5770154E+03 
                 165.                     412.500061E-03             5.75049353E+03
                 170.                     425.000122E-03             5.92385626E+03
                 175.                     437.5E-03                  6.09710932E+03
                 180.                     449.999878E-03             6.27023745E+03
                 185.                     462.499908E-03             6.44323206E+03
                 190.                     475.000122E-03             6.61609125E+03
                 195.                     487.500122E-03             6.78880358E+03
                 200.                     500.E-03                   6.96135759E+03
                 205.                     512.499878E-03             7.13374519E+03
                 210.                     524.999878E-03             7.30594969E+03
                 215.                     537.500122E-03             7.47795725E+03
                 220.                     550.000122E-03             7.6497488E+03 
                 225.                     562.5E-03                  7.82130384E+03
                 230.                     574.999878E-03             7.99258757E+03
                 235.                     587.499878E-03             8.16354561E+03
                 240.                     600.000183E-03             8.33407784E+03
                 245.                     612.500061E-03             8.50405502E+03
                 250.                     625.E-03                   8.67335129E+03
