displacement/m,displacement/mm,force/kN,force/N
7.713443350220423e-06,0.007713443350220423,0.03653333333333327,36.533333333333275
8.025432137785718e-06,0.008025432137785718,0.03839930707288255,38.39930707288255
8.337420925351013e-06,0.008337420925351013,0.040265280812431824,40.265280812431826
8.649409712916309e-06,0.008649409712916308,0.04213125455198111,42.13125455198111
8.961398500481604e-06,0.008961398500481603,0.04399722829153038,43.997228291530384
9.273387288046897e-06,0.009273387288046898,0.04586320203107967,45.86320203107967
9.585376075612193e-06,0.009585376075612193,0.047729175770628934,47.729175770628935
9.897364863177488e-06,0.009897364863177488,0.049595149510178224,49.595149510178224
1.0209353650742783e-05,0.010209353650742783,0.0514611232497275,51.4611232497275
1.0521342438308078e-05,0.010521342438308079,0.053327096989276776,53.327096989276775
1.0833331225873373e-05,0.010833331225873374,0.05519307072882604,55.19307072882604
1.1145320013438669e-05,0.011145320013438669,0.05705904446837533,57.059044468375326
1.1457308801003964e-05,0.011457308801003964,0.05892501820792461,58.92501820792461
1.1769297588569259e-05,0.011769297588569259,0.06079099194747389,60.790991947473884
1.2081286376134554e-05,0.012081286376134554,0.06265696568702316,62.65696568702316
1.239327516369985e-05,0.01239327516369985,0.06452293942657242,64.52293942657242
1.2705263951265145e-05,0.012705263951265144,0.06638891316612171,66.38891316612171
1.301725273883044e-05,0.01301725273883044,0.06825488690567098,68.25488690567099
1.3329241526395735e-05,0.013329241526395735,0.07012086064522025,70.12086064522025
1.364123031396103e-05,0.01364123031396103,0.07198683438476952,71.98683438476952
1.3953219101526325e-05,0.013953219101526325,0.0738528081243188,73.8528081243188
1.426520788909162e-05,0.01426520788909162,0.07571878186386806,75.71878186386806
1.4577196676656916e-05,0.014577196676656915,0.07758475560341735,77.58475560341735
1.4889185464222211e-05,0.01488918546422221,0.07945072934296663,79.45072934296662
1.5201174251787506e-05,0.015201174251787505,0.08131670308251589,81.31670308251589
1.55131630393528e-05,0.015513163039352799,0.08318267682206516,83.18267682206516
1.5825151826918095e-05,0.015825151826918096,0.08504865056161444,85.04865056161444
1.613714061448339e-05,0.01613714061448339,0.08691462430116371,86.91462430116371
1.6449129402048685e-05,0.016449129402048686,0.088780598040713,88.780598040713
1.676111818961398e-05,0.01676111818961398,0.09064657178026225,90.64657178026225
1.7073106977179276e-05,0.017073106977179276,0.09251254551981153,92.51254551981152
1.738509576474457e-05,0.01738509576474457,0.0943785192593608,94.3785192593608
1.7697084552309866e-05,0.017697084552309866,0.09624449299891008,96.24449299891008
1.800907333987516e-05,0.01800907333987516,0.09811046673845936,98.11046673845935
1.8321062127440456e-05,0.018321062127440457,0.09997644047800863,99.97644047800863
1.8633050915005748e-05,0.01863305091500575,0.10184241421755791,101.8424142175579
1.8945039702571047e-05,0.018945039702571047,0.10370838795710718,103.70838795710718
1.925702849013634e-05,0.01925702849013634,0.10557436169665645,105.57436169665645
1.9569017277701637e-05,0.019569017277701637,0.10744033543620571,107.44033543620571
1.988100606526693e-05,0.01988100606526693,0.10930630917575497,109.30630917575498
2.0192994852832228e-05,0.020192994852832227,0.11117228291530427,111.17228291530428
2.050498364039752e-05,0.02050498364039752,0.11303825665485355,113.03825665485356
2.0816972427962818e-05,0.020816972427962818,0.11490423039440281,114.90423039440282
2.112896121552811e-05,0.02112896121552811,0.11677020413395207,116.77020413395208
2.144095000309341e-05,0.021440950003093408,0.11863617787350136,118.63617787350137
2.17529387906587e-05,0.0217529387906587,0.12050215161305063,120.50215161305063
2.2064927578224e-05,0.022064927578223998,0.12236812535259992,122.36812535259992
2.237691636578929e-05,0.02237691636578929,0.12423409909214916,124.23409909214917
2.2688905153354586e-05,0.022688905153354585,0.12610007283169847,126.10007283169845
2.300089394091988e-05,0.02300089394091988,0.12796604657124772,127.96604657124772
2.3312882728485176e-05,0.023312882728485175,0.12983202031079702,129.83202031079702
2.362487151605047e-05,0.023624871516050472,0.13169799405034627,131.69799405034627
2.3936860303615767e-05,0.023936860303615765,0.13356396778989552,133.56396778989551
2.4248849091181062e-05,0.024248849091181062,0.13542994152944482,135.42994152944482
2.4560837878746357e-05,0.024560837878746355,0.13729591526899407,137.29591526899407
2.4872826666311652e-05,0.024872826666311652,0.13916188900854337,139.16188900854337
2.5184815453876944e-05,0.025184815453876946,0.14102786274809262,141.02786274809262
2.5496804241442243e-05,0.025496804241442243,0.14289383648764192,142.89383648764192
2.5808793029007535e-05,0.025808793029007536,0.14475981022719117,144.75981022719117
2.6120781816572833e-05,0.026120781816572833,0.14662578396674047,146.62578396674047
2.6432770604138125e-05,0.026432770604138126,0.14849175770628972,148.49175770628972
2.6744759391703423e-05,0.026744759391703423,0.15035773144583903,150.35773144583902
2.7056748179268715e-05,0.027056748179268716,0.15222370518538827,152.22370518538827
2.7368736966834014e-05,0.027368736966834013,0.15408967892493755,154.08967892493754
2.7680725754399306e-05,0.027680725754399307,0.15595565266448683,155.95565266448682
2.79927145419646e-05,0.0279927145419646,0.1578216264040361,157.8216264040361
2.8304703329529896e-05,0.028304703329529897,0.1596876001435854,159.6876001435854
2.861669211709519e-05,0.02861669211709519,0.16155357388313463,161.55357388313462
2.8928680904660487e-05,0.028928680904660487,0.16341954762268393,163.41954762268392
2.9240669692225782e-05,0.02924066969222578,0.16528552136223318,165.28552136223317
2.9552658479791077e-05,0.029552658479791077,0.16715149510178248,167.15149510178247
2.9864647267356372e-05,0.02986464726735637,0.16901746884133173,169.01746884133172
3.0176636054921667e-05,0.030176636054921668,0.17088344258088103,170.88344258088102
