time,C_mol,CL_mol,CT_mol,C_wtppm,CL_wtppm,CT_wtppm
0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,2.19987965,1.76569343,0.434654022,0.280652161,0.225190353,0.0554533043
600.0,2.42351222,1.9567939,0.467050903,0.309098663,0.249561646,0.0595830956
1800.0,2.91667008,2.38011146,0.537737793,0.372205292,0.303627777,0.0686094131
7200.0,4.42885208,3.67597818,0.753868591,0.565156067,0.468914734,0.0962116089
