time,C_mol,CL_mol,CT_mol,C_wtppm,CL_wtppm,CT_wtppm
0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,5.41294909,4.5193367,0.894727722,0.690592468,0.576434204,0.114143639
600.0,8.89338493,7.50030375,1.39199054,1.13455033,0.956928955,0.177572372
1800.0,9.77219391,8.25412846,1.51760566,1.24691713,1.05297148,0.193605911
7200.0,9.79111862,8.27020741,1.52045107,1.24964976,1.05502558,0.193960785
