time,C_mol,CL_mol,CT_mol,C_wtppm,CL_wtppm,CT_wtppm
0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,7.62440538,6.41239309,1.21080208,0.972490784,0.818188477,0.154468628
600.0,11.2509289,9.52075768,1.72885585,1.43531406,1.21469212,0.220549316
1800.0,11.5275459,9.75269413,1.768502,1.46977615,1.24477291,0.225570236
7200.0,11.5286913,9.75287914,1.76852548,1.46977997,1.24487591,0.225577988
