strain/-,stress/Mpa,stress/Pa
0.0,839.646,839646000
0.0003,880.025,880025000
0.0005,906.975,906975000
0.001,926.275,926275000
0.002,926.275,926275000
0.003,939.393,939393000
0.004,949.756,949756000
0.005,958.495,958495000
0.006,966.134,966134000
0.007,972.96,972960000
0.008,979.15,979150000
0.009,984.823,984823000
0.01,990.061,990061000
0.02,1027.47,1027470000
0.03,1049.75,1049750000
0.04,1064.31,1064310000
0.05,1074.41,1074410000
0.06,1081.81,1081810000
0.07,1087.49,1087490000
0.08,1092.06,1092060000
0.09,1095.87,1095870000
0.1,1099.14,1099140000
0.15,1111.18,1111180000
0.2,1119.63,1119630000
0.25,1126.25,1126250000
0.3,1131.72,1131720000
0.35,1136.38,1136380000
0.4,1140.44,1140440000
0.45,1144.05,1144050000
0.5,1147.3,1147300000
0.55,1150.25,1150250000
0.6,1152.96,1152960000
0.65,1155.46,1155460000
0.7,1157.79,1157790000
0.75,1159.96,1159960000
0.8,1162.0,1162000000
0.85,1163.92,1163920000
0.9,1165.74,1165740000
0.95,1167.46,1167460000
1.0,1169.11,1169110000
1.05,1170.67,1170670000
1.1,1172.16,1172160000
1.15,1173.6,1173600000
1.2,1174.97,1174970000
1.25,1176.29,1176290000
1.3,1177.56,1177560000
1.35,1178.79,1178790000
1.4,1179.97,1179970000
1.45,1181.12,1181120000
1.5,1182.22,1182220000
1.55,1183.3,1183300000
1.6,1184.34,1184340000
1.65,1185.35,1185350000
1.7,1186.33,1186330000
1.75,1187.28,1187280000
1.8,1188.21,1188210000
1.85,1189.12,1189120000
1.9,1190.0,1190000000
1.95,1190.86,1190860000
2.0,1191.7,1191700000
2.05,1192.52,1192520000
2.1,1193.32,1193320000
2.15,1194.1,1194100000
2.2,1194.87,1194870000
2.25,1195.62,1195620000
2.3,1196.35,1196350000
2.35,1197.07,1197070000
2.4,1197.77,1197770000
2.45,1198.47,1198470000
2.5,1199.14,1199140000
2.55,1199.81,1199810000
2.6,1200.46,1200460000
2.65,1201.1,1201100000
2.7,1201.73,1201730000
2.75,1202.35,1202350000
2.8,1202.96,1202960000
2.85,1203.55,1203550000
2.9,1204.14,1204140000
2.95,1204.72,1204720000
3.0,1205.29,1205290000
