strain/-,stress/Pa,stress/MPa
0.0,839646000.0,839.646
0.0002,866565333.3333334,866.5653333333333
0.0004,893500000.0,893.5
0.0006,910835000.0,910.835
0.0008,918555000.0,918.555
0.001,926275000.0,926.275
0.002,926275000.0,926.275
0.003,939393000.0,939.393
0.004,949756000.0,949.756
0.005,958495000.0,958.495
0.006,966134000.0,966.134
0.007,972960000.0,972.96
0.008,979150000.0,979.15
0.009,984823000.0,984.823
0.01,990061000.0,990.061
0.02,1027470000.0,1027.47
0.03,1049750000.0,1049.75
0.04,1064310000.0,1064.31
0.05,1074410000.0,1074.41
0.06,1081810000.0,1081.81
0.07,1087490000.0,1087.49
0.08,1092060000.0,1092.06
0.09,1095870000.0,1095.87
0.1,1099140000.0,1099.14
0.125,1105160000.0,1105.16
0.15,1111180000.0,1111.18
0.175,1115405000.0,1115.405
0.2,1119630000.0,1119.63
0.225,1122940000.0,1122.94
0.25,1126250000.0,1126.25
0.275,1128985000.0,1128.985
0.3,1131720000.0,1131.72
0.325,1134050000.0,1134.05
0.35,1136380000.0,1136.38
0.375,1138410000.0,1138.41
0.4,1140440000.0,1140.44
0.425,1142245000.0,1142.245
0.45,1144050000.0,1144.05
0.475,1145675000.0,1145.675
0.5,1147300000.0,1147.3
0.525,1148775000.0,1148.775
0.55,1150250000.0,1150.25
0.575,1151605000.0,1151.605
0.6,1152960000.0,1152.96
0.625,1154210000.0,1154.21
0.65,1155460000.0,1155.46
0.675,1156625000.0,1156.625
0.7,1157790000.0,1157.79
0.725,1158875000.0,1158.875
0.75,1159960000.0,1159.96
0.775,1160980000.0,1160.98
0.8,1162000000.0,1162.0
0.825,1162960000.0,1162.96
0.85,1163920000.0,1163.92
0.875,1164830000.0,1164.83
0.9,1165740000.0,1165.74
0.925,1166600000.0,1166.6
0.95,1167460000.0,1167.46
0.975,1168285000.0,1168.285
1.0,1169110000.0,1169.11
1.05,1170670000.0,1170.67
1.1,1172160000.0,1172.16
1.15,1173600000.0,1173.6
1.2,1174970000.0,1174.97
1.25,1176290000.0,1176.29
1.3,1177560000.0,1177.56
1.35,1178790000.0,1178.79
1.4,1179970000.0,1179.97
1.45,1181120000.0,1181.12
1.5,1182220000.0,1182.22
1.55,1183300000.0,1183.3
1.6,1184340000.0,1184.34
1.65,1185350000.0,1185.35
1.7,1186330000.0,1186.33
1.75,1187280000.0,1187.28
1.8,1188210000.0,1188.21
1.85,1189120000.0,1189.12
1.9,1190000000.0,1190.0
1.95,1190860000.0,1190.86
2.0,1191700000.0,1191.7
2.05,1192520000.0,1192.52
2.1,1193320000.0,1193.32
2.15,1194100000.0,1194.1
2.2,1194870000.0,1194.87
2.25,1195620000.0,1195.62
2.3,1196350000.0,1196.35
2.35,1197070000.0,1197.07
2.4,1197770000.0,1197.77
2.45,1198470000.0,1198.47
2.5,1199140000.0,1199.14
2.55,1199810000.0,1199.81
2.6,1200460000.0,1200.46
2.65,1201100000.0,1201.1
2.7,1201730000.0,1201.73
2.75,1202350000.0,1202.35
2.8,1202960000.0,1202.96
2.85,1203550000.0,1203.55
2.9,1204140000.0,1204.14
2.95,1204720000.0,1204.72
3.0,1205290000.0,1205.29
