displacement/m,displacement/mm,force/kN,force/N
1.6822248152469856e-06,0.0016822248152469855,0.024766666666666656,24.766666666666655
1.8405784674748693e-06,0.0018405784674748692,0.026938011946015396,26.938011946015397
1.998932119702753e-06,0.001998932119702753,0.02910935722536414,29.10935722536414
2.1572857719306366e-06,0.0021572857719306367,0.03128070250471289,31.280702504712888
2.3156394241585203e-06,0.0023156394241585204,0.03345204778406162,33.45204778406162
2.473993076386404e-06,0.002473993076386404,0.035623393063410363,35.62339306341036
2.6323467286142876e-06,0.0026323467286142876,0.0377947383427591,37.7947383427591
2.7907003808421717e-06,0.0027907003808421717,0.03996608362210786,39.96608362210786
2.9490540330700554e-06,0.0029490540330700554,0.042137428901456594,42.137428901456595
3.107407685297939e-06,0.003107407685297939,0.04430877418080534,44.30877418080534
3.265761337525823e-06,0.003265761337525823,0.046480119460154096,46.48011946015409
3.424114989753707e-06,0.0034241149897537067,0.04865146473950282,48.65146473950282
3.5824686419815906e-06,0.0035824686419815904,0.05082281001885156,50.82281001885156
3.7408222942094742e-06,0.003740822294209474,0.052994155298200306,52.994155298200305
3.8991759464373575e-06,0.0038991759464373577,0.05516550057754906,55.16550057754906
4.057529598665242e-06,0.004057529598665241,0.057336845856897786,57.33684585689779
4.215883250893125e-06,0.004215883250893125,0.05950819113624652,59.50819113624652
4.374236903121009e-06,0.004374236903121009,0.06167953641559527,61.679536415595265
4.532590555348892e-06,0.004532590555348892,0.063850881694944,63.85088169494401
4.690944207576777e-06,0.004690944207576777,0.06602222697429275,66.02222697429275
4.84929785980466e-06,0.0048492978598046604,0.06819357225364149,68.19357225364149
5.0076515120325445e-06,0.005007651512032544,0.07036491753299023,70.36491753299023
5.166005164260428e-06,0.005166005164260428,0.07253626281233898,72.53626281233898
5.324358816488311e-06,0.005324358816488311,0.07470760809168772,74.70760809168772
5.482712468716195e-06,0.005482712468716195,0.07687895337103647,76.87895337103646
5.641066120944078e-06,0.005641066120944079,0.0790502986503852,79.0502986503852
5.7994197731719625e-06,0.005799419773171962,0.08122164392973394,81.22164392973394
5.9577734253998466e-06,0.005957773425399847,0.0833929892090827,83.3929892090827
6.116127077627731e-06,0.0061161270776277305,0.08556433448843143,85.56433448843143
6.274480729855614e-06,0.006274480729855614,0.08773567976778016,87.73567976778016
6.432834382083498e-06,0.006432834382083498,0.08990702504712891,89.90702504712891
