
                     X                   displacement                force         

                   0.                       0.                      -0.            
                   5.                      11.0000038E-03          148.96138       
                  10.                      22.0000076E-03          297.907104      
                  15.                      32.9999962E-03          446.837189      
                  20.                      44.0000153E-03          595.751709      
                  25.                      54.9999924E-03          744.650513      
                  30.                      65.9999924E-03          893.533752      
                  35.                      77.0000153E-03            1.04240131E+03
                  40.                      88.0000305E-03            1.19125342E+03
                  45.                      98.9999924E-03            1.3400898E+03 
                  50.                     109.999985E-03             1.48891044E+03
                  55.                     121.000038E-03             1.63771558E+03
                  60.                     131.999985E-03             1.7865051E+03 
                  65.                     143.000046E-03             1.93527901E+03
                  70.                     154.000031E-03             2.0840373E+03 
                  75.                     164.999985E-03             2.23277998E+03
                  80.                     176.000061E-03             2.38150716E+03
                  85.                     187.E-03                   2.5302186E+03 
                  90.                     197.999985E-03             2.67891455E+03
                  95.                     209.000076E-03             2.827595E+03  
                 100.                     219.999969E-03             2.97625947E+03
                 105.                     230.999969E-03             3.12490845E+03
                 110.                     242.000076E-03             3.27354169E+03
                 115.                     252.999939E-03             3.42215991E+03
                 120.                     263.999969E-03             3.57076216E+03
                 125.                     275.000061E-03             3.71934891E+03
                 130.                     286.000092E-03             3.86791992E+03
                 135.                     296.999969E-03             4.01647568E+03
                 140.                     308.000061E-03             4.16501617E+03
                 145.                     319.000122E-03             4.31353998E+03
                 150.                     329.999969E-03             4.46204901E+03
                 155.                     341.000061E-03             4.6105423E+03 
                 160.                     352.000122E-03             4.75901985E+03
                 165.                     362.999969E-03             4.90748262E+03
                 170.                     374.E-03                   5.05592871E+03
                 175.                     385.000122E-03             5.20436001E+03
                 180.                     395.999969E-03             5.35277557E+03
                 185.                     406.999939E-03             5.50117493E+03
                 190.                     418.000153E-03             5.6495595E+03 
                 195.                     428.999969E-03             5.79792786E+03
                 200.                     439.999939E-03             5.94628143E+03
                 205.                     451.000153E-03             6.09461832E+03
                 210.                     461.999939E-03             6.2429409E+03 
                 215.                     472.999908E-03             6.39124727E+03
                 220.                     484.000153E-03             6.53953791E+03
                 225.                     494.999939E-03             6.68781328E+03
                 230.                     505.999878E-03             6.83607483E+03
                 235.                     517.000122E-03             6.98431826E+03
                 240.                     527.999939E-03             7.13254738E+03
                 245.                     538.999878E-03             7.28076124E+03
